Pair,Condition
1,alap - pilot
1,alap - pilot
2,alap - pilot
2,alap - pilot
3,alap - pilot
3,alap - pilot
4,alap - pilot
4,alap - pilot
5,alap - pilot
5,alap - pilot
6,alap - pilot
6,alap - pilot
7,alap - pilot
7,alap - pilot
8,alap - pilot
8,alap - pilot
9,alap - pilot
9,alap - pilot
10,alap - pilot
10,alap - pilot
11,alap - pilot
11,alap - pilot
12,alap - pilot
12,alap - pilot
13,alap
13,alap
14,alap
14,alap
15,
15,
16,
16,
17,alap
17,alap
18,
18,
19,
19,
20,
20,
21,
21,
22,
22,
23,
23,
24,
24,
25,
25,
26,
26,
27,alap
27,alap
28,
28,
29,
29,
30,
30,
31,alap
31,alap
32,alap
32,alap
33,alap
33,alap
34,alap
34,alap
35,alap
35,alap
36,alap
36,alap
37,alap
37,alap
38,alap
38,alap
39,alap
39,alap
40,alap
40,alap
41,alap
41,alap
42,alap
42,alap
43,alap
43,alap
44,alap
44,alap
45,alap
45,alap
46,alap
46,alap
47,alap
47,alap
48,alap
48,alap
49,alap
49,alap
50,alap
50,alap
51,alap
51,alap
52,alap
52,alap
53,alap
53,alap
54,alap
54,alap
55,alap
55,alap
56,ismeretlen
56,ismeretlen
57,ismeretlen
57,ismeretlen
58,alap
58,alap
59,ismeretlen
59,ismeretlen
60,ismeretlen
60,ismeretlen
61,ismeretlen
61,ismeretlen
62,ismeretlen
62,ismeretlen
63,ismeretlen
63,ismeretlen
64,alap
64,alap
65,ismeretlen
65,ismeretlen
66,alap
66,alap
67,ismeretlen
67,ismeretlen
68,alap
68,alap
69,alap
69,alap
70,alap
70,alap
71,alap
71,alap
72,alap
72,alap
73,alap
73,alap
74,alap
74,alap
75,alap
75,alap
76,alap
76,alap
77,alap
77,alap
78,ismeretlen
78,ismeretlen
79,alap
79,alap
80,alap
80,alap
81,ismeretlen
81,ismeretlen
82,ismeretlen
82,ismeretlen
83,ismeretlen
83,ismeretlen
84,alap
84,alap
85,ismeretlen
85,ismeretlen
86,ismeretlen
86,ismeretlen
87,ismeretlen
87,ismeretlen
88,ismeretlen
88,ismeretlen
89,ismeretlen
89,ismeretlen
90,alap
90,alap
91,ismeretlen
91,ismeretlen
92,ismeretlen
92,ismeretlen
93,alap
93,alap
94,ismeretlen
94,ismeretlen
95,alap
95,alap
96,alap
96,alap
97,ismeretlen
97,ismeretlen
98,ismeretlen
98,ismeretlen
99,ismeretlen
99,ismeretlen
100,ismeretlen
100,ismeretlen
101,ismeretlen
101,ismeretlen
102,unimodális
102,unimodális
103,unimodális
103,unimodális
104,alap
104,alap
105,unimodális
105,unimodális
106,unimodális
106,unimodális
107,ismeretlen
107,ismeretlen
108,ismeretlen
108,ismeretlen
109,ismeretlen
109,ismeretlen
110,ismeretlen
110,ismeretlen
111,ismeretlen
111,ismeretlen
112,ismeretlen
112,ismeretlen
113,ismeretlen
113,ismeretlen
114,ismeretlen
114,ismeretlen
115,ismeretlen
115,ismeretlen
116,ismeretlen
116,ismeretlen
117,ismeretlen
117,ismeretlen
118,ismeretlen
118,ismeretlen
119,ismeretlen
119,ismeretlen
120,unimodális
120,unimodális
121,unimodális
121,unimodális
122,unimodális
122,unimodális
123,unimodális
123,unimodális
124,unimodális
124,unimodális
125,unimodális
125,unimodális
126,unimodális
126,unimodális
127,unimodális
127,unimodális
128,unimodális
128,unimodális
129,unimodális
129,unimodális
130,unimodális
130,unimodális
131,unimodális
131,unimodális
132,unimodális
132,unimodális
133,unimodális
133,unimodális
134,unimodális
134,unimodális
135,unimodális
135,unimodális
136,unimodális
136,unimodális
137,unimodális
137,unimodális
138,unimodális
138,unimodális
139,unimodális
139,unimodális
140,unimodális
140,unimodális
141,unimodális
141,unimodális
142,unimodális
142,unimodális
143,unimodális
143,unimodális
144,unimodális
144,unimodális
145,unimodális
145,unimodális
146,unimodális
146,unimodális
147,unimodális
147,unimodális
148,unimodális
148,unimodális
149,unimodális
149,unimodális
150,unimodális
150,unimodális
151,unimodális
151,unimodális
152,unimodális
152,unimodális
153,unimodális
153,unimodális
154,unimodális
154,unimodális
155,unimodális
155,unimodális
156,unimodális
156,unimodális
157,alap
157,alap
158,alap
158,alap
159,alap
159,alap
160,alap
160,alap
161,alap
161,alap
162,alap
162,alap
163,alap
163,alap
164,alap
164,alap
165,alap
165,alap
166,alap
166,alap
167,alap
167,alap
168,alap
168,alap
169,alap
169,alap
170,alap
170,alap
171,alap
171,alap
172,alap
172,alap
173,alap
173,alap
174,alap
174,alap
175,alap
175,alap
176,alap
176,alap
177,alap
177,alap
